S.No,Sentence,Annotator 1,Annotator 2,IAA,label
1398,And how did the Wise Creator come into existence? All that wisdom and creativity cannot come to existence accidentally or spontaneously...,Non-Sarcastic,Sarcastic,Disagree,Unknown
1399,"'christians have been just as bad' oh really? when? and if the only thing you can answer the crusades, that was a war started by muslims, and so-called christians fought back",Sarcastic,Sarcastic,Agree,Sarcastic
1400,What makes you think that the Bible is any more spiritual to me or anyone else than Grimms Fairy tales are?,Non-Sarcastic,Sarcastic,Disagree,Unknown
1401,"I am hardly a phyicist, but I am under the impression that there is at least some people who feel there is reason that there are 'uncaused causes'. I think thatthe terms used are 'Vacuum flucuations', and 'virtual particles'. I am not awareof any peer reviewed articles on it , but a popular press book is 'Achilles in the quantum world' by Richard Morris.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1402,"My point exactly. Carbon dating is by no means accurate, there it does not refute creationism. emoticon_xangel",Sarcastic,Non-Sarcastic,Disagree,Unknown
1403,"That's why I voted as I did as well. Ideally I'd prefer the ""none required"" policy.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1404,"You actually posted something that made good sense, and was funny too, maybe there hope for you yet.",Sarcastic,Sarcastic,Agree,Sarcastic
1405,Really? Show me that by quoting where the article says it.,Sarcastic,Sarcastic,Agree,Sarcastic
1406,Ah yes resort to attack when you have no case - perfect example. Its a marvellous demonstration of projection.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1407,":p
I have no idea how to rate presidents these days, but this certain Prez would classify as *wai up there.
*Walking Around Idiot",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1408,"who says there is an afterlife? oh wait, people from two thousand years ago before science. hmmm.",Sarcastic,Sarcastic,Agree,Sarcastic
1409,"So, is a giant Panda a bear? Or some other ""kind""?",Sarcastic,Sarcastic,Agree,Sarcastic
1410,"Not really. It just means that Homo erectus was around in Africa 200,000 and 125,000 years ago. So some of them stayed around in Africa. What's your point?",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1411,how about suicide? so he wouldn't have to end his life in prison. there was an autopsy. results not public yet.,Sarcastic,Sarcastic,Agree,Sarcastic
1412,"Where did you here this XXXX?
Some cheap detective novel or something?
Once again, my sincerest apologies.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1413,Sounds like the Brady Law has stopped a lot of criminals from obtaining handguns.,Sarcastic,Sarcastic,Agree,Sarcastic
1414,"This is simply false. Rock can be folded under pressure. This has been proven by lab experiment. However there are many features in sedimentary rocks that cannot be formed quickly, for example, fossil trackways.",Sarcastic,Sarcastic,Agree,Sarcastic
1415,"Atheism does not show 'faithful devotion' in any ultimate reality or deity. It is the LACK of a belief (the belief in gods).
 Your definition of religion is thin.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1416,"honestly, i am amazed, so there are actually gay people with a sense of reason. i have spent years of facing discrimination from narrow minded homosexual activists and all these years later, you are the only one that has ever demonstrated somewhat of a sense of reason beyond the same old hogwash i have seen demonstrated by thousands i have interacted with. i still have my reservations towards suspecting that somehow you might be attempting to set me up for a slam.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1417,"Maybe I should add to (or manipulate) sinjins recommendation with Compulsory Competitive Philosphy :)
",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1418,"wow....there is a real person under there. Good luck on your recovery, chemist.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1419,"Each side tries to support their own worldview. There are two positions, and sides are chosen. It's human nature.",Sarcastic,Sarcastic,Agree,Sarcastic
1420,My apoligies emoticonXAngel It must have been the testosterone emoticonXBanghead emoticonXBanghead,Non-Sarcastic,Sarcastic,Disagree,Unknown
1421,So this singularity that appeared out of no were became a greater singularity which took on perfect balance and form?,Sarcastic,Sarcastic,Agree,Sarcastic
1422,"i assume you can demonstrate that everyone that opposes or critiques gay rights are personally attacking an individual or group? please, be my guest",Sarcastic,Sarcastic,Agree,Sarcastic
1423,Sure keep thinking that way and never mind the millions he put in his pocket. How was someone else put it? A thimble size brain case almost empty.,Non-Sarcastic,Sarcastic,Disagree,Unknown
1424,"'Life threatening condition that is always physically harmful""? What a giant load of steamy BS. Rarely is pregnancy physically harmful and even rarer is it life threatening. There are over 6 Billion people on this earth today. If motherhood was so damn dangerous, don't you think the population would be a lot lower, even if it was just due to mothers keeling over after giving birth? Where do you get this BS from, Planned Parenthood?",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1425,"So you are pro-life and you hate liberals? Actually Republicans are being liberal in this case (liberal=bigger government, more laws).   But I'll assume you mean Democrats on this. What if the baby is a democrat? If it's a democratic parent it's most likely it will grow up democratic and one more person to attempt to keep abortion legal.",Sarcastic,Sarcastic,Agree,Sarcastic
1426,"wow, you got into stock trading with just $100? i had always imagined you'd need quite a lot of money to start out, so i never tried. i'm going to read up on this now ^^",Non-Sarcastic,Sarcastic,Disagree,Unknown
1427,"This, coming from an atheist. How consistently shallow of you. emoticonXRolleyes",Sarcastic,Non-Sarcastic,Disagree,Unknown
1428,"did you really post that shitty argument? do something else with your brain.. oh right, you're incapable of it. xoxo",Sarcastic,Sarcastic,Agree,Sarcastic
1429,Obviously sarcasm escapes you....if you did not understand that remark about gun control working in Europe during the 1930's.Report me? My knees are trembling already.I believe Steeve was expressing his right to free speech.,Non-Sarcastic,Sarcastic,Disagree,Unknown
1430,You are so FUN. Its amazing to hear you say this considering how much you applaud a law that pretty much allows this in Arizona.,Sarcastic,Sarcastic,Agree,Sarcastic
1431,"Hahaha  yes , bashing Reagan, Bush, and just about every high profile conservative out there is a really good way to prove it. Youve reinforced your proof with almost complete lack of confrontation with far left posters here, like Simone, Chester, and countless others. All your disdain of talk radio and Fox news helps a lot too. A book could be filled with all of your put-downs of Bush, have you said anything bad at all about Obama yet? Unlike past years, nothing I see at this place surprises me anymore.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1432,"oh yes...because mainstream science is concocting one big hoax just to brainwash you. it's a conspiracy of rabid scientists. emoticonxrolleyes we all know you know much more that scientific peer reviewed journals and the scientific method, right? you're scientific credentials?",Sarcastic,Sarcastic,Agree,Sarcastic
1433,We came from apes not created. Why can't people figure that out did any body go to school around here.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1434,"you're hopeless. what do you thing a stable website in which only authorized personnel have access to would be considered in layman's terms? answer: a secure website.emoticonxbangheademoticonxbanghead i already cited the section of the bill that backs up my statement above, so don't bother trying to refute it.",Sarcastic,Sarcastic,Agree,Sarcastic
1435,"Or better yet, try doing your homework before making posts. It would 1) allow you to make sense of all that crazy technical jargon, 2) spare Urvogel and trouble of tearing them to pieces and you the embarassment of having to sit through it.
Just a honest suggestion.
-GFA",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1436,"hellno, i am quite surprised that you complain we have bad weather when axeminster lists all of those.",Sarcastic,Sarcastic,Agree,Sarcastic
1437,"wow... you are bent on harping on creationists arguments at whatever the cost.first of all, you are not even considering that the majority of people are misinformed of what evolution is not because they have creationist motives, but because they go to the dictionary for definitions",Sarcastic,Sarcastic,Agree,Sarcastic
1438,"I don't recall seeing anyone who's for gay marriage come out truly in favor of the idea here that I recall. Can you? Naw, didn't think so. emoticonXSmilie",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1439,"Via something called ""evidence"". It is something that a creationist will never have come across, thus explaining why you are unaware of it.",Sarcastic,Sarcastic,Agree,Sarcastic
1440,"yeah, the lithologically all encompassing, all bedform forming, process immune FLUD",Sarcastic,Sarcastic,Agree,Sarcastic
1441,Why bother with vaccines then? Seems to be cutting the cash cow off early on.,Sarcastic,Sarcastic,Agree,Sarcastic
1442,"So, Clinton getting it on with Lewinsky is a sign of intelligence? You can work for the Obama administration with those kinds of smarts. LOl!!",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1443,"Watch out, Jim. She believes that the only good man is a neutered man. emoticonXIc",Sarcastic,Sarcastic,Agree,Sarcastic
1444,"Once you kid yourself that you can live whatever lifestyle you want , irrespective to whether the Bible forbids it or not, the world of sacrilege is your oyster",Sarcastic,Non-Sarcastic,Disagree,Unknown
1445,"Actually the defending of ATF wouldn't do much with regular guns since they have little to do with them. ATFs function is with NFA guns, which you probably know little, or nothing about.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1446,"And this coming from a so called, self proclaimed ""rational christian"" ? It appears you have blown your cover as a poser by showing your true colors as an anti-christian atheist and a hatemonger. Thanks for revealing your true Nature. emoticonXGood",Sarcastic,Sarcastic,Agree,Sarcastic
1447,No but the fact that infants have brain activity makes them a world of difference between a zygote that has no brain activity. They can think and feel and exhibit all the characteristics of other human beings. A zygote exhibits none of those characteristics.,Non-Sarcastic,Sarcastic,Disagree,Unknown
1448,Symbiote seems to have had a large hair across his butt.,Sarcastic,Sarcastic,Agree,Sarcastic
1449,"Hundreds of thousands of atheist scientists do too, since common ancestry with apes harmonizes perfectly with the absence of a creator. They're seldom asked to answer about that confusion, however.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1450,"I think you can forget about God the super ""engineer"" on this one: your final question contains a necessary and sufficient condition to explain the case.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1451,"I'll answer that as soon as you find a orthodx, conservative, reform, reconstructions or karsite rabbi that says the echad in the shema is a compound",Sarcastic,Sarcastic,Agree,Sarcastic
1452,And what if it is one to me? Then your refute is equally refuted. The support for us not knowing lies in you and other's inability to provide anything beyond speculation as support for the assertion that an unborn child is not a person. Your own inability,Sarcastic,Sarcastic,Agree,Sarcastic
1453,"Buy stock in the failing banks? What a great investment. Tell me, where does the money come from?",Sarcastic,Sarcastic,Agree,Sarcastic
1454,"irrelevant. what about the common people that weren't blessed with god's son? revenge: definition, synonyms from answers.com tr.v., -venged, -venging, -venges. 1. to inflict punishment in return for (injury or insult). 2. to seek or take vengeance for (oneself or another person); avenge. n. 1. the act of taking vengeance for injuries or wrongs; retaliation. 2. something done in vengeance; a retaliatory measure. 3. a desire for revenge; spite or vindictiveness. 4. an opportunity to retaliate, as by a return sports match after a defeat. tell me, simone, how exactly does using force to defend oneself qualify as revenge? revenge is tracking down the person that wronged you and cutting their throat when they're at their most vulnerable. revenge isn't killing your attacker because you're in fear of your own life.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1455,"You are right. I correct myself, person. Thanks for pointing that out.",Sarcastic,Sarcastic,Agree,Sarcastic
1456,"We've covered that: zoos do not include predators or prey in those environments. And even if they didn't document minor phenotypic changes, they would surely notice a porcupine being born with no quills, or a tortoise with no shell!",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1457,"Thank you. Unfortunately, on a forum plagued with emotional patriotism based on conceited belief systems and distorted historical interpretations, rational opinions are normally ignored.",Sarcastic,Sarcastic,Agree,Sarcastic
1458,"Well, the claim isn't that they were identical, just that they preceded Jesus and were very similar.",Sarcastic,Sarcastic,Agree,Sarcastic
1459,Oh? And what is the specific amount of pot you have to smoke before you become a drug crazed fiend?,Sarcastic,Sarcastic,Agree,Sarcastic
1460,i am really surprised this one got so many upvotes :p,Sarcastic,Sarcastic,Agree,Sarcastic
1461,In your first post. If you are to qualify that by stating I assert that reproduction is not an absolute requirement of life over the ontogeny of an individual then of course reproduction is not essential character of life.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1462,"Yet this need for revenge is far removed from the need for justice. My original post addresses this feeling or need for the criminal to die. It has no relevance in the discussion of justice, only revenge.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1463,i meant betweent 1973-1986 because that was the cutoff date for people to vote in the last election,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1464,"i'm not surprised. i have more than that, i also have common sense on my side. firearms don't facilitate killing, firearms facilitate keeping criminals from getting a corner market on domination. the police are outnumbered by the criminals, the criminals are outnumbered by the law-abiding citizens. we shouldn't be unarmed when we're the majority force in maintaining the balance. too bad.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1465,This is poor example. Focusing on saving lives over burying the dead doesn't do anything to trump personal autonomy.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1466,"And have a child with a terminal disease and watch them most likely die slowly because of my ""soul mate."" Yeah. I'm thinking if they're willing to make me go through that they're not a soul mate at all. >_>",Sarcastic,Non-Sarcastic,Disagree,Unknown
1467,"It seems that Prop 8, banning gay marriage passed by around 300+ thousand votes. So the inconsistency persists, unless there was voter fraud that only touched on the top of the ticket which would explain why it appears that more progressives supported Obama than these side issues.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1468,"Do you mean like Piltdown Man? It was displayed there for 40 years. ""The Eoanthropus dawsoni, or Piltdown Man, was on display at the Natural History Museum in London for 40 years. It was removed when advanced dating techniques not only showed that the bo",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1469,"um, if the critter in question meets all the sensual criteria i cited, i ain't gonna call it an elephant. reckon my empirical observations trump your philosophical maunderings.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1470,What in the Hell does evolution have to do with people doing bad things? I am a believer in creation by God and have never heard such drivel. BOY-HOWDY!!!,Sarcastic,Non-Sarcastic,Disagree,Unknown
1471,hey hydra - -  you know what i find amazing? all the men on this board who found pregnancy to only be a minro inconvenience. i am am just anxious for them to tell me more about their pregnancies....,Non-Sarcastic,Sarcastic,Disagree,Unknown
1472,"Again, it's not just 'evidence' but 'evidence constructed into a workable theory'.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1473,"Bet the crime rate skyrockets,but I wonder what happens if you (officers)just
 put a bullet in them, you know for resisting arrest?
 
 Who does that pinhead mayor remind you of?emoticon_rolleyes",Non-Sarcastic,Sarcastic,Disagree,Unknown
1474,Jyoshu - you think anytime a homosexual engages in anything but hiding in the closet and keeping their mouths shut is a gay rights movement. The kids are jerks.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1475,"are you saying you only have a hard time having compassion for the gay victims of sexually transmitted illness? if, so that just shows your anti-gay prejudice. what difference does that make? everyone who has aids is a victim. in some communities and in other countries, the majority who have it are straight. against the victims from the largest social group of victims in each jurisdiction? this is nothing more than prejudice and destructive political agenda.  i would hope there are other, better, human instincts inside of you.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1476,"And without a limited lifespan there would be no death. But we don't live in such a world, so shut up and get onto a more relevant topic.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1477,"Anyway Duo_Maxwell this isn't only creationist debaters, there are many more who do the same thing with different debates. you also forgot7. Make random accusations of logical fallacies when they have no idea what they even mean. Example: You said that my spelling is wrong, that's the biggest strawman I've ever heard8. Correct spelling mistakes and convienantly not answer the question. Example: ""What do you thinkk of carbon dating?"" ""you spelled think wrong"". If you want to correct spelling, fine but answer the question as well.",Sarcastic,Sarcastic,Agree,Sarcastic
1478,The character of God seems to be in the eye of the beholder... Or non-existant.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1479,"Well then, you would immediately notice a 15% reduction in bullying! Rejoice! 
",Non-Sarcastic,Sarcastic,Disagree,Unknown
1480,Er . . . how do you know that god hasn't told anyone to kill enmasse (in the last 2000 years)? Does he run all his orders by you?,Non-Sarcastic,Sarcastic,Disagree,Unknown
1481,I don't drink and I'm not overweight. But I bet you have a bad habit with junk food and FOX news/couch potatoism. With a sixpack by your side.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1482,"do away with scholarships, too. oh yes. humans have a natural desire to learn. are ever learning.  besides, you don't need two to three years to prepare for these exams, nor do you need a public high school to help you prepare for them. teachers must assess all the time in order to teach. the issue there is not grades, but assessment. the appropriate methods varying, for different teachers. you believe that, because you don't know anything else.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1483,"What laws are these that you speak of? Kindly provide the bill name and number so you have some actual proof and aren't simply parroting from the fear-mongering Brady Campaign and Violence Policy Center.During World War II the American people rounded up Japanese-Americans and herded them into concentration camps because you were at war with the people of Japan and thought that they were the sleeping enemy even though they had no proof. What you're speaking of is no different than this.The way I see it Brady, your hatred for guns and gun owners is so overwhelming and logic defying, that you'd be perfectly alright with unleashing a life-ending pandemic plague on the people of earth if you believed it would put an end to all gun owners everywhere.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1484,I thought it was at the bottom of a large body of water.,Sarcastic,Sarcastic,Agree,Sarcastic
1485,depends on what you mean by 'history'.  did george washington really cut down the cherry tree? that is fiction. did george washington exist? that is documented.. and is history.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1486,where did you get this from? i want to read it.,Sarcastic,Sarcastic,Agree,Sarcastic
1487,"really? damn! i wanna be awesome too. are you selling awesomeness or do i have to develop it on my own? if it's a lot of work, i might just settle on being mediocre.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1488,"i love how the creator is also just like, sure whatever .",Sarcastic,Sarcastic,Agree,Sarcastic
1489,"And she was having unprotected sex? So she knew becoming pregnant was a possibility? Yeah, I could see that being condemned by pro-lifers.",Sarcastic,Sarcastic,Agree,Sarcastic
1490,You asked where the line should be drawn in regards to weapons?  How about where ownership and use of weapons does not violate the rights of others.   Before you respons think about it. Do anything you want. If I don't violate anyone then what is the ,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1491,Your not going to trod out the myth of the smallpox-infected blankets are you? That one's been disproven so many times that even YOU should know that. emoticonXRolleyes,Sarcastic,Sarcastic,Agree,Sarcastic
1492,really!?!?! that high!?!?! wow!!!! cool!!!! do you think i beat out larry the cable guy ;),Non-Sarcastic,Sarcastic,Disagree,Unknown
1493,you know who else is not normal? one who has an i.q. of 122 or higher.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1494,"exactly. archangel, when americans travel for health care, because they can't afford it here, and if they can afford to go anywhere else, they now high-tail to india or mexico. where the nations rank much lower than ours. didn't you hear that was one of the plans from your lovely health insurance companies next time you need open heart surgery? instead of doing anything about the united states ... take a plane to the third world, baby. :wink: ------- 61 mexico 112 india (hope you speak spanish or indo-aryan, fluently, and are quite comfortable with caste systems .. meaning, too, you don't ask the doctors any questions ... oh but what's a little plane ride? and they have mcdonald's there, too ...)",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1495,"Now, now ZSU, we learned from comrade star gazer that GW created the Continental Army. I am sure these gentlemen have some equally illogical and inaccurate 'facts' to scatter around the barnyard emoticonXHoho",Non-Sarcastic,Sarcastic,Disagree,Unknown
1496,"So, you're saying that you believe in absolutely everything your church believes and you support everything it does and the moment it did anything oustide of these you'd leave right?",Sarcastic,Sarcastic,Agree,Sarcastic
1497,If you feed me a lot of caffinated coffee i start to wiggle and squirm too. I'm not really in any pain.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1498,So you are saying that the democrats have no choice but to inaugarate Brown and let him stop the bill? You suggest that whatever option they pick will be political suicide.,Non-Sarcastic,Sarcastic,Disagree,Unknown
1499,I was just thinking this thread smelt a little fishy emoticonXAngel,Sarcastic,Sarcastic,Agree,Sarcastic
1500,"Actually, we do. These inconsistant laws are a product of pro-life people trying to create a stepping stone to a national ban.
 
 Crimes against pregnant women should warrant a more serious offense, not an entirely new offense.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1501,So then I guess you could also debate that algebra serves no purpose as well.,Sarcastic,Sarcastic,Agree,Sarcastic
1502,"Gansao shines like the sun compared to you.
The only shine you're going to have is the glow from your fat frying in the Pit when you die. emoticonXBouncer",Sarcastic,Sarcastic,Agree,Sarcastic
1503,"When the President is in public, there are plenty of people around him ...with guns.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1504,"I've never been to Amsterdam.   A friend of mine went and he liked it.   I'd like to go someday.   Hell, I'd just like to get my XXX anywhere, really.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1505,"The title of the thread gives a false impression by stating that a Christian Pastor believes that bigotry blocked Gay Marriage. Had the title said, pro-gay pastor believes bigotry blocked gay marriage, his position would have appeared as obvious as his views are. She is attempting to make it sound like the christian community is split, but bible believing pastors wouldn't be caught dead endorsing what this pastor believes in any aspect of his so called faith.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1506,It's truly amazing that even someone like KH can disprove evolution so quickly.,Sarcastic,Sarcastic,Agree,Sarcastic
1507,"<Flush>
You're the one lining up to be Satan's whipping boy for all eternity. It doesn't get any dumber than that.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1508,It's possible that Archaeopteryx is not a direct descendant of modern birds but it's certainly not far from the line and it shares both avian and therepodian characteristics.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1509,"oh yes we can. invoking god is not an explanation for ultimate origins, it's the papering over of the absence of an explanation by declaring further application of the question off limits. simply declaring that god's origin doesn't need explaining does not make that so.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1510,"Gun registration schemes have been disabled for criminals because requiring them to register a gun they are forbidden to own would violate their 5th Amendment rights. I would assume that if ballistic fingerprinting ever became law, a form would be offered at time of sale where you would be required to waive any claim of 5th Amendment right injury from any governmental authority's use of the ballistic data. Don't sign the form - you don't get the gun.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1511,You mean like how you suck any rationale thought or discourse from a debate topic? Talk about ABORTING.,Sarcastic,Sarcastic,Agree,Sarcastic
1512,"So you for strict regulation of business but not people? Interesting...do you know who runs businesses? Yeah, people.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1513,"No one mentioned helping or not helping people here, or even dealing with the consquences of pregnancy at all. Its more;'If abortion were banned, what measures or research would you suggest to reduce the pressure for people to have illegal ones or unwanted pregnancies'.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1514,"Never said I had it mastered, Mr. unrepentant homosexual.
But love does speak the truth.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1515,personally i can't stand it when someone uses 'lol'. it's usually used derisively when politeness suggests that leaving it out and responding politely is in order. personally i'm surprised at this thread. the author apparently didn't read the faq.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1516,So then will you go the way on liberty (repeal stoopid laws) or tyranny (enact more unconstitutional laws)?,Non-Sarcastic,Sarcastic,Disagree,Unknown
1517,So now those that are opposed to even more laws on the books and a return to Old Testament practices are considered left wing? What's this world coming too? LOL,Non-Sarcastic,Sarcastic,Disagree,Unknown
1518,"Aww, you didn't read a top criminoligist I quoted before did you?The ""Myth"" of Gun TraffickingYou also didn't check out mexidata.com either did you?Now you need proof to back up your alligator mouth. Where's the beef sliiiiick?",Sarcastic,Sarcastic,Agree,Sarcastic
1519,"Alexander, I don't give a rat's rectum about King James. emoticonXBanghead",Sarcastic,Non-Sarcastic,Disagree,Unknown
1520,"Stalin died of natural causes while in power, I believe. Perhaps the fall of communism is due in part that the purges stopped. So, killing hundreds of thousands of people was wise for Stalin, huh? Good. Good. Anybody disagree with canadianman76?",Non-Sarcastic,Sarcastic,Disagree,Unknown
1521,"Oh I understand plenty. What you want is a system where a person is held responsible for crimes that they didn't commit. You want ""guilty by association"" extended to the point of ridiculousness where anybody who even met the criminal even once can be held as an accomplice.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1522,"running away again? typical. you come in and derail the thread from its original discussion, offer up your p***y pacifist propaganda, quote selected verses in the bible to make it look like you've got support from god, and then you turn tail and run when confronted with the facts that prove your position wrong. not that i'm surprised. what else can you expect from a man who wouldn't even defend his own family against danger?",Sarcastic,Non-Sarcastic,Disagree,Unknown
1523,"And as I said, Herbert Spencer's ideas predate Darwin's. Meanwhile, Dawkins writings on religion are irrelevant to whether evolution is good biology.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1524,"it must because he's a liberal. hey sarah, how come bushie's daddy, cheney, and rumsfeld all used to rub elbows with saddam? must be cause they were led astray by some liberal...",Sarcastic,Sarcastic,Agree,Sarcastic
1525,"What the freaking hell are you even talking about, dude? Hi its Me did not even post that. Do you even read the dang posts here before spouting off your drivel!? Not to mention that it proved the unintelligence of creationists (as well as their predictive abilities, which, I must say are very poor).",Sarcastic,Non-Sarcastic,Disagree,Unknown
1526,"Cars are a privilege, your gun isn't. Show me evidence that would support the registration of your first amendment rights being constitutional.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1527,"They have changed. For example, ancient examples of coelacanth were shallow water species, while the modern coelacanth is a deep marine species (actually, two or three species). And the differences are enough to put them in different families.By the way, ark guy, what do you know about taxonomy?",Sarcastic,Non-Sarcastic,Disagree,Unknown
1528,"Yes, but how do you legally get it into international waters? Once there, where do you go? There aren't too many ports where ordinance is allowed. Since I am a law abiding citizen, where, other than international waters, may I legally have a gun?",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1529,I believe that the theory you speak of is called slavery; everybody is equal because they have nothing and need to work long and hard just to earn the privilege of living in order to serve their masters.,Sarcastic,Sarcastic,Agree,Sarcastic
1530,"do they conver the same types of subject? i have, as yet, not heard much 'good' about american education (nor health), so it's interesting to hear about these things from the horse's mouth (so to speak).",Sarcastic,Non-Sarcastic,Disagree,Unknown
1531,she didn't have answers to about 12 questions...'i don't know. ' 'i wasn't informed of that'...talk about uninformed political hacks? we have 'leadership' emoticonxrolleyes that defines 'uninformed'.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1532,"i'm sorry; kalifornia?? this from a guy who lives in the people's republic of oregon. and yeeeesss, oregon has some big cities as well: i fly into portland several times a year.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1533,Is North Korea a bastion of peace and good-living? Nope. Is it religious? Nope. Therefore obstacles to 'peace' don't necessarily have to be tied in with religiosity.Hope that's spelt out enough for you. Try to keep up.,Non-Sarcastic,Sarcastic,Disagree,Unknown
1534,So you still choose to believe that someone who's a victim of crime should be punished as if they committed the crime themselves?,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1535,"Yes, do you? It's in a country with no medical facilities, no sterile place to get it done. A country full of HIV and AIDS. I wouldn't be surprised if these mothers had HIV/AIDS and knew they'd leave their child an orphan.",Sarcastic,Non-Sarcastic,Disagree,Unknown
1536,Well if you don't know the facts then why do you keep coming back for more?,Sarcastic,Non-Sarcastic,Disagree,Unknown
1537,"Does anyone else see a teeny-weeny hint of double standard here?
He continues:
",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
1538,And there are plenty of people who smoke who don't develop lung cancer. You're cherry picking.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1539,"Says the one who uses the abortion card when he's about to lose a death penalty thread. 
",Non-Sarcastic,Sarcastic,Disagree,Unknown
1540,you are a very good student of buddha. i am very impressed.,Sarcastic,Sarcastic,Agree,Sarcastic
1541,wow what an awkward discussion. there is obviously no reason to sterilize when they are sexually retarded as opposed to mentally retarded and even then mentally retarded can have non mentally retarded children and some of them are able to take care of their offspring depending up the severity of their condition.,Sarcastic,Non-Sarcastic,Disagree,Unknown
1542,Just another bogus reason for having and abortion............There are thousands of them.........,Sarcastic,Non-Sarcastic,Disagree,Unknown
1543,i love how you managed to advocate reading the bible all the while pile slamming insults on it. pure brilliance. :d,Sarcastic,Sarcastic,Agree,Sarcastic
1544,"Such a wonderful come back... full of wit , wisdom, and true Christian (tm) love.
And, while some home schoolee excel, a lot don't. The problem with the testing statistics is that is comparing voluntary t taking with mandatory test taking in the public sector. That skews the results.",Non-Sarcastic,Sarcastic,Disagree,Unknown
1545,"That's ridiculous. The purpose imposed by man is what makes it artificial in the first place. You have the idea expressed in the definition backwards. It isn't that natural selection operates on the same principles as artificial selection, but the reverse. The principles are that differential reproductive success will have an effect on the gene pool of the species.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
