S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
408,And we all know that is what it will become. I'm willing to bet money that Marc is going to argue that abiogenesis is a part of evolution as well as the big bang. There's a clear reason why he won't accept the definitions before the debate starts.,Sarcastic,Sarcastic,Agree,247,48,True,Sarcastic
409,"many americans feel that deploying our military in our own cities as a police force sets a bad precedent. i'm surprised you don't. it's one thing to use them in the case of a natural disaster where local police might be overwhelmed, but to open a shooting war with street gangs? chicago ain't rio de janeiro.",Sarcastic,Sarcastic,Agree,308,56,True,Sarcastic
411,"the (us) government is not required to 'recognize' all forms of unions or so called marriages,... just because it has the authority and the responsiblity to define and recognize one.  either the government has discretion or it doesn't; and at least according to article 1, section 8.... it does. if a county clerk operates outside the law,... that can not negate the law she has ignored or circumvented. if a licence branch clerk started passing out drivers licenses to illegals and other 'non qualified' applicants,... would the government in that case be required to validate and 'protect' those illegally gotten certificates? you should know better than that.  emoticonxdonno",Sarcastic,Sarcastic,Agree,678,108,True,Sarcastic
412,actually some did talk about the complexity of life as well as irreducible complexity even though it may not be mentioned in the title,Sarcastic,Sarcastic,Agree,134,24,True,Sarcastic
413,You throw personal insults more than I do. So when will YOU grow up?,Sarcastic,Sarcastic,Agree,68,14,True,Sarcastic
414,"so what? the judges' actions created greater freedom for everybody in massachusets. they defended against majority tyranny, and frankly, i do not care about the sources of the laws - only the laws themselves.",Sarcastic,Sarcastic,Agree,208,34,True,Sarcastic
415,"Yes I do. Anytime there's a mass killing, you and your ilk are holding it up as an example of how we need more gun control, how we have to reduce the rights of the people so those that die won't have died in vain.",Sarcastic,Sarcastic,Agree,213,45,True,Sarcastic
417,"LOLfunny I never looked at you name in detail. I just assumed you were a male. Unlike women and Montalban, you present very rational arguments. OH NO! PLEASE DONT TELL MY WIFE I SAID THAT! LOL",Sarcastic,Sarcastic,Agree,192,36,True,Sarcastic
420,"third degree? dono posted something that confused me, so i was asking for clarification. of what concern is it to anyone whether gay people marry? adopt? what concern is it of mine whether female infants have their vaginas sewn up, for that matter? why should anyone care whether women have abortions, as well? again, where is the line drawn between concern over an issue and obsession? yay for you? there were black people who thought slavery was just fine, too, so i see this as evidence of nothing more than your own muddy thinking.",Sarcastic,Sarcastic,Agree,535,94,True,Sarcastic
423,"proving my beliefs from the bible is not being un-christian. is it? as i said i don't want to debate it with you, i just like to know who i'm typing to. simple.",Sarcastic,Sarcastic,Agree,160,33,True,Sarcastic
424,"lol...you read my whole post only to conclude with ""what's your point."" Evolutionist brilliance on display. I'm not mistaking nothing for nothing. I know my stuff. You obviously know nothing and don't care to learn it.",Sarcastic,Sarcastic,Agree,218,36,True,Sarcastic
425,"be sure and count the number of hits vs. the number of misses of some well trained leos. sap, remember your postition you took now on citizens might miss and hit some innocent person? read 3 or 4 versions of this shootout and learn something! lots of useful information in there.",Sarcastic,Sarcastic,Agree,279,51,True,Sarcastic
426,"find me a spell check plugin for firefox liminus. i had one for ie before i switched over.  frankly, i'm not surprised we're going to use that for police and military applications.",Sarcastic,Sarcastic,Agree,180,32,True,Sarcastic
427,"yeah! its a benefit to be able to do a thing like that. i'm amazed that we've come so far in technology and science, but i think there is a line of what we can offer people. its not like they're gonna chose whether they want to have an egg or a bagel for breakfast.",Sarcastic,Sarcastic,Agree,265,55,True,Sarcastic
430,"The last known passenger pigeon died in 1914. Your attempt to inflame the discussion fails on the grounds of utter stupidity. Might as well be asking if he bagged a tasmanian tiger, or a chupacabra, or the mothman.",Sarcastic,Sarcastic,Agree,214,38,True,Sarcastic
432,Oddly enough I found Thomas's opinion to be most compelling. The dissent was surprisingly weak...even for a dissent. It didn't even really make sense. The actual opinion was kinda weak but I got bored reading it so I skimmed the second half. Ha.,Sarcastic,Sarcastic,Agree,245,43,True,Sarcastic
433,"Some claim, that Darwin's Evolution theory is an imaginary fairytale as others claim that Cathlic Genisis is a make-belive pack of lies. No one is right. Human life on earth was created by aliens manipulating already existing genetic materials.   PS My post is by no means intended as a serious opinion on the subject and should be treated as such. We alreadly live in strange enough word and this debate is pointless per se.",Sarcastic,Sarcastic,Agree,425,74,True,Sarcastic
435,"Alright. Aproximately 0 illegal drug dealers paid income taxes on their drug money. (Unless, of course, they laundered it.)",Sarcastic,Sarcastic,Agree,123,19,True,Sarcastic
438,"not entirely sure whether you are agreeing with me or not:)  i also presume the reference to 'george' relates to the us president ?? if so then i'm afraid the one thing they have done is underestimate the terrorists and, then, in a way realising that, have gone over the top. apart from their fanaticism there is absolutely nothing to indicate that terrorists are anything other than just as capable of planning etc as any other man. indeed all their actions have indicated that they are extremely capable. we have to be more so",Sarcastic,Sarcastic,Agree,528,94,True,Sarcastic
440,"that was a similar argument used for every single scientific discovery since the beginning of time. were is the biblical proof that god doesn't want cloning? those that said the earth was round instead of flat were labled heretics. many people believed flying should be left to the birds that god created. in fact, some faith's still believe that science is wrong, medicine is a sin. it is a good thing that we don't let religion dictate our science, or we'd still be thumping eachother with clubs and eating raw meat. pride caused the fall of the son of morning, not scientific discovery.",Sarcastic,Sarcastic,Agree,589,103,True,Sarcastic
441,"thanks for clarifying the point i was making to simone. with all of your difficulties with comprehension, i'm surprised you got it. emoticonxsmilie",Sarcastic,Sarcastic,Agree,147,23,True,Sarcastic
444,...Because everyone knows there are no married men sexually abusing children. emoticonXConfused,Sarcastic,Sarcastic,Agree,95,12,True,Sarcastic
445,Yet another of your posts that wouldn't pass the Turing Test...,Sarcastic,Sarcastic,Agree,63,11,True,Sarcastic
447,"So you're claiming that you ""transformed"" from part of your mother to a human. So you're claiming that you were once almost your mom's arm or leg? lol! Biologically, this is simply a farce statement.",Sarcastic,Sarcastic,Agree,199,35,True,Sarcastic
449,"Oh, I get it Flashlights and I-Pods have souls and consciousness.",Sarcastic,Sarcastic,Agree,65,11,True,Sarcastic
450,"Of course I can't. Can you guarantee that the apparent mugging about to happen isn't some poor slob about to ask directions? Big guy, dark parking lot, bang bang. Better safe than sorry, eh?",Sarcastic,Sarcastic,Agree,190,34,True,Sarcastic
452,'positive' atheism? now there's a contradiction of terms if i ever saw one.,Sarcastic,Sarcastic,Agree,75,13,True,Sarcastic
455,"Hate to have to spoil things, but the rest of the world has really no interest at all in Kansas and its scholastic problems",Sarcastic,Sarcastic,Agree,123,24,True,Sarcastic
457,"Guns in our society increased. 
   Total NICS Firearm Background Checks -- November 30, 1998 - February 28, 2010",Non-Sarcastic,Non-Sarcastic,Agree,113,18,True,Non-Sarcastic
461,"how about a Swiss University? they have full automatic weapons in most homes, and target shooting is a national sport.",Sarcastic,Sarcastic,Agree,118,20,True,Sarcastic
462,When 90 percent of this forum is left wing out of work Liberals it is not a surprise that polls don't go the Conservative way.........,Sarcastic,Sarcastic,Agree,134,25,True,Sarcastic
463,"False. Beneficial mutations in bacteria have been observed in the lab. Far from wrecking the system, they allowed the system to continue to live while those without the mutations died: the mutations improved the system's ability to survive and perpetuate itself.",Sarcastic,Sarcastic,Agree,262,41,True,Sarcastic
464,"The Brady Campaign whines more than they act. Making handguns legal in Chicago wouldn't make them happy. Sending the national guard in wouldn't make them happy. They don't have a solution for the problem, but they're right there to whine about it.   They're just like the Federal Government; they find something simple and complicate it.",Sarcastic,Sarcastic,Agree,337,55,True,Sarcastic
466,"because gc hears things all woggly. the message from god is for shepherds to tend to ignorant, mindless sheep. but, with dope-smoker ears, and american ignorance it translates into a cowboy...who rustles cattle...and heads them to a quick slaughter. it's like, when the anti-chist makes his appearance, i'll be gods slaughterman. effectively and efficiently removing tru-believahs from the world...cause god forgot some in his rapture thingy (i forget how the logic of these events is supposed to play out...) ummm...aren't we overdue for that bloke to return already? i'm getting antsy for the 2nd coming and all the excitement that leads up to that glorious event. think holding my breath will make it happen any sooner?",Sarcastic,Sarcastic,Agree,722,116,True,Sarcastic
467,"The point that seemingly escapes you is that not even in the most wonderful country on the planet in all of human history has free speech been considered an absolute right that nothing can limit in any way.
Thank you for comprehending. Not.",Non-Sarcastic,Non-Sarcastic,Agree,241,43,True,Non-Sarcastic
468,"so since most abortions weren't rape, do you still support abortions for people who are raped? Just wondering.",Sarcastic,Sarcastic,Agree,110,18,True,Sarcastic
471,"are you a little bit retarded or something? don't get me wrong sleazyrider i love babies, they're delicious!",Sarcastic,Sarcastic,Agree,108,18,True,Sarcastic
472,"Not if they give him the death penalty, then it's apeals till your ears bleed.",Sarcastic,Sarcastic,Agree,78,15,True,Sarcastic
473,So being easy to know makes it good? methinks that's not quite right.,Sarcastic,Sarcastic,Agree,69,13,True,Sarcastic
474,"Cornell's writings consistently place him within the collective right camp. Even the arguments that are attributed to him which start this thread show his collective right desire.   His claim to neutrality in the individual/collective right debate is as disingenuous as his interpretations of the SCOTUS opinions in both Miller and Cruikshank:   Greatest Threat to Second Amendment?   Greatest Threat to Second Amendment?   Whether ?neutral? or not, Cornell has proven himself capable of distorting SCOTUS opinions when he does not find that they suit his collective right tastes.",Sarcastic,Sarcastic,Agree,580,86,True,Sarcastic
475,But I think that Gods originally came about to explain why a large yellow thing goes up and down everyday. To a caveman the most logical explanation is there is a God. Now we know better. Just because there are still things we can't explain does not mean they must be from God.,Sarcastic,Sarcastic,Agree,277,53,True,Sarcastic
477,oh dear lord...the onion is why i wake up in the mornings. they're talking about making it a pay site though. my world would just crumble.,Sarcastic,Sarcastic,Agree,138,26,True,Sarcastic
478,"my implication was that the christians felt they could not compete financialy so they vilified the jews in order to justify destroying them and taking there success. my question is how is that attitude any diffrent from todays ultra liberials that wish to uphold the inheritance tax, or property taxes? todays 'haves' are not nessacerialy all jewish, they are however being attacked by the 'havenots' for their success, much as the jews were back then.",Sarcastic,Sarcastic,Agree,452,75,True,Sarcastic
479,Not even Answers in Genesis thinks that these ideas have any credence. But Mr. Kent Hovind still does.,Sarcastic,Sarcastic,Agree,102,18,True,Sarcastic
480,"I'm not going anywhere with this thread. I just wanted to point out the obvious hypocrisy of everything your side represents, and nothing more. You all go right ahead and massage your shallow World views.",Sarcastic,Sarcastic,Agree,204,35,True,Sarcastic
481,Interesting that you would make such a judgement when you are guilty of the same. Or do you need to reread Matthew 7 ?,Sarcastic,Sarcastic,Agree,118,24,True,Sarcastic
483,"You crack me up.   That was a nice rant that had absolutely nothing to do with anything. The essential question is not what various religous leaders have said about the issue, but what the Bible says about the issue.",Sarcastic,Sarcastic,Agree,216,39,True,Sarcastic
489,"Argueing with penfold is like wrestling a pig in the mud, the pig enjoys it.",Sarcastic,Sarcastic,Agree,76,15,True,Sarcastic
493,I'd argue that the woman wants to control who lives or dies. That's scarier to me. emoticonXRolleyes,Sarcastic,Sarcastic,Agree,100,17,True,Sarcastic
495,"Sure, cause everyone ALWAYS agrees with everything their church minister says. emoticonXRolleyes",Sarcastic,Sarcastic,Agree,96,12,True,Sarcastic
496,"Good, associate yourself with him. After all, having a best pal who weaves a web of contridictions and lies can't hurt you right?",Sarcastic,Sarcastic,Agree,129,23,True,Sarcastic
497,Funny how you haven't had a literature or history class recently. Would you like me to contact the several history and literature/English teachers in my school and ask them if they credit Homer as the actual author of those epics?,Sarcastic,Sarcastic,Agree,230,40,True,Sarcastic
502,"I want to know how giving her abusers more reason to abuse her makes sense too.
",Non-Sarcastic,Non-Sarcastic,Agree,81,16,True,Non-Sarcastic
504,nato are you serious!? please don't tell me you are buying this too!?!?!?! you can repeal any amendment! by repealing the 2nd amendment you could enact whatever gun law you wanted. even the american spectator talks about that. i'm hoping i just misunderstand you. the american spectator : repeal the second amendment?,Sarcastic,Sarcastic,Agree,317,52,True,Sarcastic
506,"Really? Let me see. Two creation myths and a global flood myth where 5 million ""kinds"" of animal were crammed into a big box that magically floats for a year - yeah, that's secular history.",Sarcastic,Sarcastic,Agree,189,35,True,Sarcastic
509,"Why do ""they"" want it to be true? Some ""gay"" science agenda?",Sarcastic,Sarcastic,Agree,60,12,True,Sarcastic
510,What does a mutation have to do with a heart transplant? What are you smoking?,Sarcastic,Sarcastic,Agree,78,15,True,Sarcastic
513,"No it's not. Wouldn't it be nice if you knew enough to differentiate between theory, evidence and definition.[/quote]Ha! Now, however, genes are ""losing their glitter.""[/quote]I wasn't aware that they glittered. What are you talking about?",Sarcastic,Sarcastic,Agree,239,35,True,Sarcastic
516,"Too much spin there buddy. The potentiality arguement is used by those who believe women have a right to have control over their fertility. As an aside it is also a fundemental tenent in Judaism's view of the unborn- the foetus is a potential life, but has not yet attained that state of being, which occurs at birth.",Sarcastic,Sarcastic,Agree,317,58,True,Sarcastic
517,i love how marc is just detached from reality. i doubt he'll reply to how he's so wrong about the cases he listed. two can't even be found on findlaw.,Sarcastic,Sarcastic,Agree,150,30,True,Sarcastic
518,"Yes. Oddly, the picture makes as much sense as most creationists. :)",Sarcastic,Sarcastic,Agree,68,12,True,Sarcastic
519,"Why not quote the Second verbatum and parse it? Of course you'll need to clarify that the commonly used rules regarding the English language and valid logic must apply. Otherwise, you'll get the liberal twist of subjective ""logic"" and interpretation of the author's intent.",Sarcastic,Sarcastic,Agree,273,44,True,Sarcastic
520,"We can. Geological fossils of severial species, along with observations of specific species in isolated areas.",Sarcastic,Sarcastic,Agree,110,16,True,Sarcastic
521,"That's certainly your right, but supersport is interested in hawking a religious agenda, not a scientific one. He may want it disguised as a scientific one, but a perusal of his posts here bely that desire.",Sarcastic,Sarcastic,Agree,206,36,True,Sarcastic
523,"i love how the liberals are incapable of even getting mccain's age right. my idiot sister-in-law argued with me that mccain is 80! gimme a break. from your lips to god's ears, archangel. emoticonxangel",Sarcastic,Sarcastic,Agree,201,34,True,Sarcastic
524,"i guess that you didn't look at my last link. there are recalls every year that effect millions of cars, and those companies are not being bullied by the government. the point is every car company has recalls, and the government is targeting toyota. ford, gm, buick all have recalls. why are they not targeted? so, the government is the almighty paternalistic big brother punishing those bad and irresponsible companies who only care about themselves and wreck endless destruction to society and the environment. no, toyota is committed to fixing faulty accelerator only because of accusations for causing accidents.",Sarcastic,Sarcastic,Agree,616,99,True,Sarcastic
525,"Just to be pedantic, a better analogy would be: ""If you are here, why do you have brothers and sisters?""",Sarcastic,Sarcastic,Agree,104,20,True,Sarcastic
527,wow. the guy on the video is certainly special... and it's difficult to type while sleep deprived and high on ginger beer.,Sarcastic,Sarcastic,Agree,122,22,True,Sarcastic
528,All of these examples are scientifically recognized as human life with a unique genetic code.,Sarcastic,Sarcastic,Agree,93,15,True,Sarcastic
532,the fetus would be a real person...and it seems like....in order to make the iraq war/abortion connection....you would have to support the war!,Sarcastic,Sarcastic,Agree,143,23,True,Sarcastic
533,"What is your evidence they didn't do this? Remember, today's Coelacanth is different.",Sarcastic,Sarcastic,Agree,85,13,True,Sarcastic
534,"i'm not saying most species aren't gay, i'm saying most don't have free will... more the question is, how differently do they have to be affected to generate different sexual preferences? maybe even only slight differences can create gayness. i don't think it's a simple choice like that, 'gay or straight'",Sarcastic,Sarcastic,Agree,306,51,True,Sarcastic
535,"Actually it wouldn't. Since there is no rational, believable evidence for creationism, it wouldn't be any more believable if evolution were disproved. As an example, I dare you to start a thread in an appropriate forum and give us tested evidence for a global flood as depicted in Genesis. Good luck.",Sarcastic,Sarcastic,Agree,300,51,True,Sarcastic
536,"Actually, it's not conjecture. The genetic makeup of the several subspecies of arctic foxes bear it out. The dominant allele is rare because it is less adaptive. The dominant allele is most likely ancestral. But even foxes below the Arctic circle show differences in their fur between summer and winter. So yes, foxes that were able to change color in the north had a differential reproductive advantage over those who couldn't.",Sarcastic,Sarcastic,Agree,428,71,True,Sarcastic
537,"The original molecule had some lipolytic function, but removing some amino acids from it, in the right place, made it fit better into the substrate, and thereby greatly increased its functionality. Barbarian observes:We thought it would take roughly a million years for bacteria to evolve enzymes capable of digesting nylon (because the compound is so different than any they were able to digest) but it took less than a century. .",Sarcastic,Sarcastic,Agree,431,71,True,Sarcastic
539,"are you one of the hard of understanding people? flyboy got it, even if his rationalisations were insufficient. even so, they were far superior to much of the dross you regurgitate.",Sarcastic,Sarcastic,Agree,181,31,True,Sarcastic
540,"So let me get this right. To counter Accipiter's statement that you have the intellectual maturity of a 10 y/o, you string together a bunch of words that you don't understand in context that makes absolutely no sense? Point - set - match Accipiter.",Sarcastic,Sarcastic,Agree,248,44,True,Sarcastic
541,"Oh no. The main disagreement between theistic evolutionists and Fundmentalists is that Fundies aren't worshipping God, but a false idol of their own making.",Sarcastic,Sarcastic,Agree,156,24,True,Sarcastic
543,"interestingly, single-celled organisms and ""simple organisms"" (those with less functionality) look more alike than they do to mammals and other more ""complex"" organisms...",Sarcastic,Sarcastic,Agree,171,23,True,Sarcastic
544,"State money, but no state accountability...yea right.Private schools don't even have to hire certified/qualified teachers! Oh come on? That's a travesty.",Non-Sarcastic,Non-Sarcastic,Agree,153,21,True,Non-Sarcastic
549,"Interesting links. Thanks for posting them. I had also previously heard of a number of experiments showing altruism in animals. It helps show that altruism has a biological and evolutionary basis.I am curious, though, what made you think that scientists (materialists, etc.) think that altruism is limited to humans? Please explain how you came to this conclusion.",Sarcastic,Sarcastic,Agree,364,57,True,Sarcastic
550,Nothing anyone has said has proven anything I have said wrong in any way because all you have are unprovable and unproven assumptions. Now go over to the other debate Creation versus evolution like a good little boy and you will get my response to Tiktaalik. Nkaaaay?,Sarcastic,Sarcastic,Agree,267,47,True,Sarcastic
551,But the number of criminals that have firearms can be reduced. In developed nations that have very strict gun laws there are a lot less criminals obtaining and using guns to commit crimes. How does your theory explain that?,Sarcastic,Sarcastic,Agree,223,39,True,Sarcastic
553,"Yeah, he's absolutely correct. So what's your point? You think you deserve special rights? Are you better than straight people? Are you superior people because your preferred form of sex doesn't allow for pro-creation as God commanded humanity to do? Is this your argument?",Sarcastic,Sarcastic,Agree,273,44,True,Sarcastic
557,"And lets not neglect the fact that he was tetotal and a vegetarian to boot.
Well, looky here we all learnt today that bad people can have have good characteristics............
Sounds like Pastor Russell Johnson's representation of truth is as selective as it is self serving.",Sarcastic,Sarcastic,Agree,277,46,True,Sarcastic
559,what about evolution has been observed?  i think it has been more theorized (if thats a word) then anything else. creating theories for theories and so on.,Sarcastic,Sarcastic,Agree,155,27,True,Sarcastic
560,"Because in the case of glacial/interglacial variation, CO2 functions as a feedback from orbital forcing. Again, this is all very simple, basic stuff outlined in chapter 6 of the AR4.",Sarcastic,Sarcastic,Agree,182,30,True,Sarcastic
561,"i guess this is another one of your mutual admiration club's charmingly racist moments. 'i bet she's black, and ergo, smokes crack.' gee you're all so mother hubbard rhymie. how do you live with yourself? such ignorance; at this point, i'm not even surprised you don't know which montmartre i'm referencing. i don't think i'll tell you, poot.",Sarcastic,Sarcastic,Agree,342,58,True,Sarcastic
563,"I know what you mean. You should see some of the other ""books"" he has at his site as well.Well, now we know that Muslim creationists are even nuttier than Christian creationists, but both still use the same twisted ideas and concepts to justify their pseudo-science of creationism (Read: Religious beliefs). ;)",Sarcastic,Sarcastic,Agree,310,52,True,Sarcastic
564,"The liberal spin that back street abortions ran amuck prior to Roe V Wade is simply not true..............It does seem nowadays you read in the paper every week about some woman stuffing her newborn in a trash can......   There are many more abortions today then there were prior to Roe V Wade.......Over 40,000,000 million since 1972....sad.........",Sarcastic,Sarcastic,Agree,350,56,True,Sarcastic
569,"We already accept that it is. You don't have to convince us.   However, consider what this does to your argument that natural selection is random.",Sarcastic,Sarcastic,Agree,146,25,True,Sarcastic
570,"That's right, a broken clock tells the right time twice a day, and gun hating hoplophobes are never right.",Sarcastic,Sarcastic,Agree,106,19,True,Sarcastic
571,Because there are no dinosaur fossils above the iridium layer.,Sarcastic,Sarcastic,Agree,62,10,True,Sarcastic
572,"This is obviously incorrect since Earth and Mars are were created only 6,000 years ago. And how did they know that Mars would be so close this year?  I have other questions too. How do they know that Pluto has a 249 year orbit of the sun since it wasn't",Sarcastic,Sarcastic,Agree,253,50,True,Sarcastic
573,"The stench of moral relativism is overwhelming. This terrorist act and the supporters of it should be suitably rewarded, good and hard.",Sarcastic,Sarcastic,Agree,135,22,True,Sarcastic
577,"I'll give you that, though there is a whole school of debate about what thoughts are.",Sarcastic,Sarcastic,Agree,85,16,True,Sarcastic
578,"Or that they tend to be better prepared, or even less willing to accept help from others or get breakdown cover. That's the trouble with these kind of stats, the interpretations are pretty open to debate.",Sarcastic,Sarcastic,Agree,204,36,True,Sarcastic
579,"To use WMD's one actually has to have them my neo-liberal friend. But I guess that kind of basic logic just goes way over your head.
*whoooooosh*",Sarcastic,Sarcastic,Agree,146,27,True,Sarcastic
581,i love how you're pretending to not know your way around the 50 character minimum... that's cute.,Sarcastic,Sarcastic,Agree,97,17,True,Sarcastic
582,I see no reason why secular shows should be required to mention your mythology.,Sarcastic,Sarcastic,Agree,79,14,True,Sarcastic
583,Not sure how you can tell that since very little is mentioned about his methods.,Non-Sarcastic,Non-Sarcastic,Agree,80,15,True,Non-Sarcastic
587,You could probably use it since in all likelihood you know absolutely nothing about it.,Sarcastic,Sarcastic,Agree,87,15,True,Sarcastic
589,"A Jungian might suggest such a stance. In other words, one (good) cannot exist without the other (evil). I wonder what some of our more interesting christian friends (AA, GC) might have to say about such?",Sarcastic,Sarcastic,Agree,204,36,True,Sarcastic
590,eureka kitchen nightmares true blood falling skies hell's kitchen master chef hardball w/ chris matthews judge judy so you think you can dance,Sarcastic,Sarcastic,Agree,142,23,True,Sarcastic
591,Not the way I see it from my experiences. I let the readers decide on their own. ,Sarcastic,Sarcastic,Agree,81,17,True,Sarcastic
592,"It's ashame that everyone keeps looking for the judiciary to do the legislature's work. When will the people press Congress to take up abortion? It is the job of Congress after all, to address the issues desired by it's constituents.",Sarcastic,Sarcastic,Agree,233,40,True,Sarcastic
593,"Heller is about determining the answer to a long standing question on the nature of the Second Amendment, and how much gun control is legally allowed. Roe v. Wade is about finding legal precedent for the murder of unborn children.I see absolutely no comparison between the two.",Sarcastic,Sarcastic,Agree,277,47,True,Sarcastic
594,"proof? and, i'm just surprised that brooks is actually capable of seeing where the problem lies. his solution? probably another dumb republican non-solution.",Sarcastic,Sarcastic,Agree,157,23,True,Sarcastic
596,"No! No! No!
The extreme right wing religionists create gods in their own corrupt image so you can't expect them to have any decent standards.",Non-Sarcastic,Non-Sarcastic,Agree,142,25,True,Non-Sarcastic
598,"Like the docking simulation, in development there is a pre-existing fitness landscape (the womb). Both processes converge on similar endpoints each time it is run, both process are biased to a few endpoints and both processes reach local optima (e.g. skin",Sarcastic,Sarcastic,Agree,255,41,True,Sarcastic
599,"sorry dude, these links are either vague or irrelevant to the topic, the abstract to the phd thesis is on the guy's own website and doesn't give a link to the actual work. i'm not stating this doesn't happen, i'm just intrigued by the possibility and i don't buy into anything unless i can see some verified, hopefully peer-reviewed work, any search on google for these names doesn't give anything of value.",Sarcastic,Sarcastic,Agree,407,72,True,Sarcastic
600,"wow that's an excellent bit of knowledge. i didn't know that about the ps updates, i only had 1 and 2 and i felt like the hassle of continually buying a new one was not worth the free internet. also, as for the red ring of death on xbox, i guess i wasn't an extreme enough gamer to let mine over heat.",Sarcastic,Sarcastic,Agree,301,62,True,Sarcastic
601,"Actually, Peeling and others on this thread have proven you and Cash to be utterly wrong. The fact you don't recognize this is irrelevant.",Sarcastic,Sarcastic,Agree,138,24,True,Sarcastic
605,"woohoohoo, diogenes, talk about twisting my statements, wow! wow! i am just plain flabbergasted!",Non-Sarcastic,Non-Sarcastic,Agree,96,14,True,Non-Sarcastic
607,"There are somewhere between 10 and 20 million gay people is America. 10,000 is a small minority, yes. And even your article admits this number is unsubstantiated, AA. More lying for JESUS.",Sarcastic,Sarcastic,Agree,188,32,True,Sarcastic
608,"Well it could mean simple instinct, and I think you will find it was only applied to animals with brains. EAM attributes ""intelligence"" even to bacteria and to corn plants, trees, jellyfish, single celled eukaryotes etc. If one is to consider intelligence the main driver of adaptation it must be omnipresent in living organisms - there is zero support for this concept.",Sarcastic,Sarcastic,Agree,370,62,True,Sarcastic
609,"So it's the blog's fault that Miller sided with the creationists. Right-o, marc. (I suspect you haven't even read the blog entry in question; I'd be surprised if you've read more than a paragraph of PZ's blog.. ever.)",Non-Sarcastic,Non-Sarcastic,Agree,217,38,True,Non-Sarcastic
610,"Yeah, reasonable people are OK with ripping unborn fetuses from their mother's wombs minutes before the baby would be born naturally! How dare those kooks try to defend the rights of the unborn fetus!",Sarcastic,Sarcastic,Agree,200,34,True,Sarcastic
612,"oh yeah i remember reading that if gay people got married heterosexuals would end up loving each other less!!! anyway the overall meaning of marriage was destroyed the moment religous people started getting divorced, if the church no longer frowns upon man splitting that which god has joined together then has the overall message of marriage not been destroyed already?",Sarcastic,Sarcastic,Agree,370,60,True,Sarcastic
614,"Man, even when I bless you guys I'm fearmongering. You guys are afraid of everything... emoticonXConfused",Sarcastic,Sarcastic,Agree,105,16,True,Sarcastic
615,"catholics who practice what? i made no mention of any practices in post. indeed, yet you do not condemn contraception as the church demands. likewise you supported desert storm ii, which the vatican officially condemned.",Sarcastic,Sarcastic,Agree,220,35,True,Sarcastic
617,Rarely has truth ever supported one side of a political movement.,Sarcastic,Sarcastic,Agree,65,11,True,Sarcastic
621,"sartre! you are a dear prince! i can't believe i said that, but thanks!",Sarcastic,Sarcastic,Agree,71,14,True,Sarcastic
622,"I think there are two separate questions here.  (1) When does personhood begin?  (2) Who gets to make such arbitrary, moral decisions on behalf of a pregnant woman?  Both are legitimate issues of contention. You can't just dismiss the one you don't ",Sarcastic,Sarcastic,Agree,249,42,True,Sarcastic
624,all this would give the tea baggers more than sufficient time to jump their sinking ship.   You did know that is a term for a specific gay male act?,Sarcastic,Sarcastic,Agree,148,29,True,Sarcastic
625,"wow, this was up to 6 points at one time. down-voting it without a rebuttal surely refutes it.",Sarcastic,Sarcastic,Agree,94,18,True,Sarcastic
626,"So Steeeeve, as you have made no response in over a month I'll take your answer to my last question as a yes: More AIDS deaths are an acceptable trade for reducing access to abortion.   If you disagree, I'm all ears as to your justification.",Sarcastic,Sarcastic,Agree,241,45,True,Sarcastic
631,"Well, she IS getting her info outta the bible, one of the bloodiest snuff novels ever written lol...",Sarcastic,Sarcastic,Agree,100,18,True,Sarcastic
632,"Not only is everyone in agreement, which scares me enough, but Parcum even agrees with me. This is really shocking!!!! :)",Sarcastic,Sarcastic,Agree,121,21,True,Sarcastic
634,"You lost me there. Try them how and for what?   This bill is a long way from passing. Doesn't seem to have great support beyond the ""plenty"" people you mentioned.",Sarcastic,Sarcastic,Agree,162,30,True,Sarcastic
636,"Honestly I'm not sure if it was ever said in the Bible, but I sure have heard a lot of the Bible thumpers saying free will is a gift from God.",Sarcastic,Sarcastic,Agree,142,31,True,Sarcastic
637,"upper class surely? would imagine that support for capitilism extends as far, if not further in the upperclass than the working class. though surely the prinicples behind the thing would just as much to protect the majority from a minority as vice versa, its just generally its not supposed to happen that way.",Sarcastic,Sarcastic,Agree,310,53,True,Sarcastic
638,"You of course have documentation of Darwin laying out his plan as to how to weasel evolution into classrooms to oust theism, right? No? You're making it all up? Shocking.
",Sarcastic,Sarcastic,Agree,172,30,True,Sarcastic
639,"Let's try to use a little kindness and common sense and not tell people on a public forum to ""shut ur mouth"". Read the forum rules, they might help your focus.
 
 -Mach",Sarcastic,Sarcastic,Agree,170,32,True,Sarcastic
640,"That's not something you can really blame on the pro-life movement. In fact, a lot of effort in the pro-life movement does go into helping single mothers. Many pro-life counseling services help single mothers offering support in a variety of ways, including financially.",Sarcastic,Sarcastic,Agree,270,43,True,Sarcastic
641,"Let's see how dillusional this claim is. Answer me these questions: How many of his actual crew are aganist Kerry? How many of these anti-Kerry's are being paid? How many of these anti-Kerrys haven't changed their own stories? Besides, memory is a bad subsitute for hard evidence. In the case aganist Bush, no one remembers him doing anything important. In fact, many people don't even remember him at all. ",Sarcastic,Sarcastic,Agree,407,69,True,Sarcastic
